route_id,stop_id,stop_name,lat,lon
25,490007657V,Hainault Street,51.55932,0.07601
25,490008466Q1,Redbridge Central Library,51.55785,0.07405
25,490008465L,Ilford Broadway,51.5584,0.07067
25,490004985Y,Chapel Road,51.55736,0.06785
25,490006059W,Dersingham Avenue,51.55528,0.06203
25,490009219W,Little Ilford Lane,51.55447,0.05937
25,490009570W,Rabbits Road,51.55302,0.05434
25,490006856W,First Avenue,51.55196,0.05137
25,490008189W,High Street North,51.55112,0.04868
25,490001341G,Woodgrange Park Station,51.54918,0.04365
25,490012131W,Shrewsbury Road,51.54816,0.03951
25,490008603W,Katherine Road,51.54741,0.03517
25,490007497W,Green Street,51.54681,0.03029
25,490006917E,Woodgrange Road,51.54653,0.02685
25,490012414W,Sprowston Road,51.54615,0.02289
25,490006936W,Margery Park Road,51.54541,0.01933
25,490003468W,Atherton Leisure Centre,51.54396,0.01377
25,490014269W,Water Lane / University of East London,51.54287,0.0099
25,490015114E,Stratford Centre / Moorfields Eye Hosp,51.54126,0.00262
25,490012904T,Stratford Bus Station,51.54094,-0.00246
25,490004815S,Stratford High St / Carpenters Road,51.53735,-0.00257
25,490014249S,Warton Road,51.53584,-0.00458
25,490003025W,Abbey Lane,51.53378,-0.00718
25,490004215P,Bow Flyover,51.53031,-0.01208
25,490004206J,Bow Church,51.52841,-0.01722
25,490002019B,Bow Church Station,51.52794,-0.02047
25,490000029Z,Bow Road Station,51.52735,-0.02403
25,490012648K,Coborn Road,51.52606,-0.02956
25,490000146C,Mile End Station,51.52536,-0.03313
25,490007341W,Regents Canal,51.52433,-0.03669
25,490011315W,Queen Mary / University of London,51.52316,-0.0392
25,490010513W,Ocean Estate,51.52225,-0.04227
25,490000220W2,Stepney Green Station,51.5217,-0.04663
25,490015508W1,Stepney Green,51.52114,-0.04924
25,490004147W,Booth Memorial,51.52036,-0.05313
25,490012153F,Sidney Street,51.51994,-0.05537
25,490013541A,Whitechapel Stn  / Royal London Hosp,51.51891,-0.06043
25,490010258K,The East London Mosque,51.51785,-0.06504
25,490006827W,Altab Ali Park,51.51694,-0.06778
25,490000004W,Aldgate East Station,51.51465,-0.07321
25,490000003R,Aldgate Station,51.51408,-0.07493
25,490012755W,St Katharine Cree,51.51327,-0.07938
25,490012783W,St Mary Axe,51.51342,-0.0827
25,490000013E,Bank Station  / Cornhill,51.51327,-0.08775
25,490007596L,Poultry / Bank Station,51.51359,-0.0913
25,490015124Z,Bread Street,51.51419,-0.09505
25,490000225T,St Paul's Station,51.51525,-0.09851
25,490001067N,City Thameslink Station,51.51642,-0.10258
25,490015096W,Holborn Circus,51.51802,-0.10679
73,490010689OJ,Great Titchfield St / Oxford Circus Stn,51.51567,-0.13905
73,490000235V,Tottenham Court Road Station,51.51638,-0.13195
73,490000235C,Tottenham Court Road Station,51.51767,-0.13154
73,490000089A,Goodge Street Station,51.52113,-0.13505
73,490000252X,Warren Street Station,51.52411,-0.13765
73,490000078Q,Euston Square Station,51.5256,-0.13685
73,490000077D,Euston Station,51.52772,-0.13231
73,490015700C,British Library,51.52903,-0.12661
73,490000129E,King's Cross Station,51.5305,-0.12307
73,490001172K,King's Cross Road,51.53111,-0.11856
73,490005904E,Penton Rise,51.53131,-0.11577
73,490010928E,Penton Street,51.53164,-0.11175
73,490003650T,Baron Street / Chapel Market,51.53228,-0.10929
73,490014603U,White Lion Street,51.53285,-0.10737
73,490000007X,Angel Station,51.53396,-0.10558
73,490008515C,Islington Green,51.53622,-0.10243
73,490010709N,Packington Street,51.53761,-0.10031
73,490005816N2,Cross Street,51.53831,-0.09948
73,490001103N1,Essex Road Station,51.54005,-0.09694
73,490010326EE,Northchurch Road,51.54248,-0.09225
73,490010515N,Ockendon Road,51.54449,-0.08933
73,490003569N1,Newington Green Road / Balls Pond Road,51.54672,-0.08713
73,490003915N,Beresford Road,51.54966,-0.08716
73,490015396NK,Newington Green,51.55169,-0.08572
73,490005432S1,Clissold Crescent,51.5565,-0.08409
73,490003591N,Barbauld Road,51.55836,-0.08247
73,490003003N,Stoke Newington Town Hall,51.56062,-0.0835
73,490004202E,Abney Park,51.56226,-0.07828
73,490014699W,William Patten School,51.56208,-0.07458
73,490005312N,Stoke Newington High St / Garnham Street,51.56233,-0.07369
73,490010427D,Northwold Road / Stoke Newington Common,51.56302,-0.07187
73,490012837J,Stoke Newington Common,51.56206,-0.06855
149,490009983G,Edmonton Green Bus Station,51.62541,-0.059
149,490006445A,Edmonton Police Station,51.62267,-0.06132
149,490011968S,Shrubbery Road,51.62113,-0.06179
149,490010801G,Brettenham Road,51.61787,-0.06316
149,490015189E,Angel Corner,51.61601,-0.06386
149,490005690K,Colyton Way,51.61194,-0.06486
149,490010463S,Nutfield Close,51.60931,-0.06646
149,490001335D,White Hart Lane Station,51.60591,-0.06805
149,490013733V,Tottenham Hotspur Football Club,51.6029,-0.0677
149,490013738S,Tottenham Sports Centre,51.60179,-0.06756
149,490009360S,Lordship Lane,51.59893,-0.068
149,490011950S,Scotland Green,51.59725,-0.06802
149,490019454S,Tottenham High Road / Bruce Grove Stn,51.59305,-0.06965
149,490013736T,Tottenham Police Station,51.59125,-0.06988
149,490013739N,Tottenham Town Hall,51.58793,-0.07066
